Model,Depth,N Estimators,MSE,RMSE,MAE,R2
RandomForest,39,300,0.031018785298103212,0.17612150719915842,0.1254328087831135,0.8911743901740087
XGBoost,4,167,0.026295177440282064,0.16215787813202928,0.11707319697035982,0.907746589915746
