Model,Depth,N Estimators,MSE,RMSE,MAE,R2
RandomForest,23,284,0.0347305583856608,0.18636136505633563,0.13046516352505536,0.8781520888199368
XGBoost,3,300,0.03126017105593715,0.1768054610467028,0.12637800155335244,0.8903275178014405
